INFO 2025-08-16 00:28:56,646 signals 23036 8544 Signals de notificaciones conectados exitosamente
INFO 2025-08-16 00:28:57,288 signals 19148 10884 Signals de notificaciones conectados exitosamente
INFO 2025-08-16 00:28:57,296 autoreload 19148 10884 Watching for file changes with StatReloader
INFO 2025-08-16 08:37:20,810 signals 15476 20668 Signals de notificaciones conectados exitosamente
INFO 2025-08-16 08:37:21,361 signals 15596 15448 Signals de notificaciones conectados exitosamente
INFO 2025-08-16 08:37:21,363 autoreload 15596 15448 Watching for file changes with StatReloader
INFO 2025-08-16 08:37:36,886 middleware 15596 17004 Petición: POST /api/token/verify/ - IP: 127.0.0.1
INFO 2025-08-16 08:37:36,886 middleware 15596 7292 Petición: POST /api/token/verify/ - IP: 127.0.0.1
INFO 2025-08-16 08:37:36,893 middleware 15596 17004 Respuesta: 200 - POST /api/token/verify/
INFO 2025-08-16 08:37:36,893 middleware 15596 7292 Respuesta: 200 - POST /api/token/verify/
INFO 2025-08-16 08:37:36,956 basehttp 15596 17004 "POST /api/token/verify/ HTTP/1.1" 200 16
INFO 2025-08-16 08:37:36,962 basehttp 15596 7292 "POST /api/token/verify/ HTTP/1.1" 200 16
INFO 2025-08-16 08:37:36,978 middleware 15596 5280 Petición: GET /api/users/profile/ - IP: 127.0.0.1
INFO 2025-08-16 08:37:36,992 middleware 15596 5280 Respuesta: 401 - GET /api/users/profile/
INFO 2025-08-16 08:37:36,996 middleware 15596 14516 Petición: GET /api/users/profile/ - IP: 127.0.0.1
INFO 2025-08-16 08:37:36,997 middleware 15596 14516 Respuesta: 401 - GET /api/users/profile/
WARNING 2025-08-16 08:37:37,005 log 15596 5280 Unauthorized: /api/users/profile/
WARNING 2025-08-16 08:37:37,005 basehttp 15596 5280 "GET /api/users/profile/ HTTP/1.1" 401 32
INFO 2025-08-16 08:37:37,013 middleware 15596 19348 Petición: POST /api/token/refresh/ - IP: 127.0.0.1
WARNING 2025-08-16 08:37:37,018 log 15596 14516 Unauthorized: /api/users/profile/
WARNING 2025-08-16 08:37:37,019 basehttp 15596 14516 "GET /api/users/profile/ HTTP/1.1" 401 32
INFO 2025-08-16 08:37:37,020 middleware 15596 14940 Petición: POST /api/token/refresh/ - IP: 127.0.0.1
INFO 2025-08-16 08:37:37,128 middleware 15596 14940 Respuesta: 200 - POST /api/token/refresh/
INFO 2025-08-16 08:37:37,128 middleware 15596 19348 Respuesta: 200 - POST /api/token/refresh/
INFO 2025-08-16 08:37:37,161 basehttp 15596 19348 "POST /api/token/refresh/ HTTP/1.1" 200 273
INFO 2025-08-16 08:37:37,165 basehttp 15596 14940 "POST /api/token/refresh/ HTTP/1.1" 200 273
INFO 2025-08-16 08:37:37,167 middleware 15596 19232 Petición: GET /api/users/profile/ - IP: 127.0.0.1
INFO 2025-08-16 08:37:37,171 middleware 15596 9664 Petición: GET /api/users/profile/ - IP: 127.0.0.1
INFO 2025-08-16 08:37:37,181 middleware 15596 9664 Respuesta: 200 - GET /api/users/profile/
INFO 2025-08-16 08:37:37,182 middleware 15596 19232 Respuesta: 200 - GET /api/users/profile/
INFO 2025-08-16 08:37:37,200 basehttp 15596 19232 "GET /api/users/profile/ HTTP/1.1" 200 1876
INFO 2025-08-16 08:37:37,208 basehttp 15596 9664 "GET /api/users/profile/ HTTP/1.1" 200 1876
INFO 2025-08-16 08:37:42,081 middleware 15596 6672 Petición: POST /api/token/ - IP: 127.0.0.1
INFO 2025-08-16 08:37:42,405 middleware 15596 6672 Respuesta: 200 - POST /api/token/
INFO 2025-08-16 08:37:42,429 basehttp 15596 6672 "POST /api/token/ HTTP/1.1" 200 1143
INFO 2025-08-16 08:37:42,438 middleware 15596 2080 Petición: GET /api/users/profile/ - IP: 127.0.0.1
INFO 2025-08-16 08:37:42,451 middleware 15596 2080 Respuesta: 200 - GET /api/users/profile/
INFO 2025-08-16 08:37:42,464 basehttp 15596 2080 "GET /api/users/profile/ HTTP/1.1" 200 1876
INFO 2025-08-16 08:37:42,554 middleware 15596 1676 Petición: GET /api/dashboard/company_stats/ - IP: 127.0.0.1
INFO 2025-08-16 08:37:42,686 middleware 15596 1676 Respuesta: 200 - GET /api/dashboard/company_stats/
INFO 2025-08-16 08:37:43,023 basehttp 15596 1676 "GET /api/dashboard/company_stats/ HTTP/1.1" 200 1305
INFO 2025-08-16 08:37:45,487 middleware 15596 13032 Petición: GET /api/calendar/events/company_events/ - IP: 127.0.0.1
INFO 2025-08-16 08:37:45,489 middleware 15596 272 Petición: GET /api/calendar/events/company_events/ - IP: 127.0.0.1
INFO 2025-08-16 08:37:45,649 middleware 15596 13032 Respuesta: 200 - GET /api/calendar/events/company_events/
INFO 2025-08-16 08:37:45,784 middleware 15596 272 Respuesta: 200 - GET /api/calendar/events/company_events/
INFO 2025-08-16 08:37:45,787 basehttp 15596 13032 "GET /api/calendar/events/company_events/ HTTP/1.1" 200 46678
INFO 2025-08-16 08:37:45,804 middleware 15596 13336 Petición: GET /api/projects/company_projects/ - IP: 127.0.0.1
INFO 2025-08-16 08:37:45,821 basehttp 15596 272 "GET /api/calendar/events/company_events/ HTTP/1.1" 200 46678
INFO 2025-08-16 08:37:45,827 middleware 15596 5948 Petición: GET /api/projects/company_projects/ - IP: 127.0.0.1
INFO 2025-08-16 08:37:46,187 middleware 15596 13336 Respuesta: 200 - GET /api/projects/company_projects/
INFO 2025-08-16 08:37:46,236 middleware 15596 5948 Respuesta: 200 - GET /api/projects/company_projects/
INFO 2025-08-16 08:37:47,070 basehttp 15596 13336 "GET /api/projects/company_projects/ HTTP/1.1" 200 31428
INFO 2025-08-16 08:37:47,103 middleware 15596 12020 Petición: GET /api/applications/received_applications/ - IP: 127.0.0.1
INFO 2025-08-16 08:37:47,753 basehttp 15596 5948 "GET /api/projects/company_projects/ HTTP/1.1" 200 31428
INFO 2025-08-16 08:37:47,760 middleware 15596 5776 Petición: GET /api/applications/received_applications/ - IP: 127.0.0.1
INFO 2025-08-16 08:37:47,989 middleware 15596 12020 Respuesta: 200 - GET /api/applications/received_applications/
INFO 2025-08-16 08:37:48,102 basehttp 15596 12020 "GET /api/applications/received_applications/ HTTP/1.1" 200 73704
INFO 2025-08-16 08:37:48,153 middleware 15596 5776 Respuesta: 200 - GET /api/applications/received_applications/
INFO 2025-08-16 08:37:48,187 basehttp 15596 5776 "GET /api/applications/received_applications/ HTTP/1.1" 200 73704
INFO 2025-08-16 08:44:36,606 signals 12796 10708 Signals de notificaciones conectados exitosamente
INFO 2025-08-16 08:48:06,783 autoreload 15596 15448 C:\Users\albur\Desktop\leanmaker\Backend\projects\views.py changed, reloading.
INFO 2025-08-16 08:48:07,768 signals 8220 8132 Signals de notificaciones conectados exitosamente
INFO 2025-08-16 08:48:07,779 autoreload 8220 8132 Watching for file changes with StatReloader
INFO 2025-08-16 08:48:10,796 middleware 8220 17888 Petición: POST /api/token/verify/ - IP: 127.0.0.1
INFO 2025-08-16 08:48:10,803 middleware 8220 11344 Petición: POST /api/token/verify/ - IP: 127.0.0.1
INFO 2025-08-16 08:48:10,957 middleware 8220 11344 Respuesta: 200 - POST /api/token/verify/
INFO 2025-08-16 08:48:10,957 middleware 8220 17888 Respuesta: 200 - POST /api/token/verify/
